idclient,clientNumber,name,lastName,email,img,address,cardNumber,nip,idagencies,idemployee
1,C1C1,Bill,Gates,NULL,gates.png,"3540 Masson",123456,windows,1,1
2,C2C2,Steve,Jobs,NULL,jobs.png,"148 Cousineau",123457,apple,1,2
3,C3C3,Oprah,Winfreh,NULL,winfreh.png,"3030 Hochelaga",123458,apple,1,3
4,C5C5,Salvador,Dali,NULL,dali.png,"1545 La Jounnesse",123459,pintor,2,4
5,C4C4,Rosa,Huerta,NULL,huerta.png,"227 Belanger",123469,unix,2,5
6,C6C6,Wendy,Savala,NULL,savala.png,"3030 Hochelaga",123479,cpp,2,6
7,C7C7,Mark,Zurembek,NULL,zurembek.png,"616 Place Brazeau",123489,facebook,3,10
8,C8C8,Antonio,Maya,NULL,maya.png,"316 Chilpa",123499,alfonso13,3,11
9,C9C9,Itzel,Alvaro,NULL,alvaro.png,"527 Alexander",123599,quimica,3,12
10,C10C10,Fanny,Santos,NULL,santos.png,"333 Saint-Croax",123699,veracruz,4,7
11,C11C11,Manuel,Brizuela,NULL,brizuela.png,"148 Cousineau",123799,construccion,4,8
12,C12C12,Pedro,Espana,NULL,alvaro.png,"555 Tacherau",123899,soldadura,4,9
